vacancy_id,skill_id
52,163
52,6
52,109
52,69
52,27
52,42
52,94
52,102
52,78
52,19
52,64
52,45
52,97
52,95
52,56
53,163
53,64
53,10
53,166
53,94
53,109
53,106
53,112
53,143
53,78
53,66
53,81
53,142
54,64
54,94
54,75
54,43
54,38
54,44
54,95
54,46
54,108
54,63
55,167
55,60
55,38
55,21
55,109
55,49
55,51
55,27
55,52
55,102
56,167
56,60
56,38
56,21
56,109
56,49
56,51
56,27
56,169
56,52
56,102
57,7
57,94
57,147
57,52
57,160
57,167
57,43
57,49
57,131
57,108
57,140
57,158
58,158
58,117
58,52
58,135
58,102
58,149
58,64
58,38
59,33
59,109
59,167
59,43
59,46
60,143
60,163
60,10
60,109
60,42
60,114
60,94
60,2
60,132
60,134
60,133
60,71
61,139
61,152
62,64
62,27
62,94
62,106
62,75
62,135
62,78
62,38
62,95
62,81
64,135
64,167
64,60
64,38
64,7
64,21
64,109
64,76
64,49
64,118
64,51
64,27
64,169
64,52
64,102
64,41
64,56
65,135
65,132
66,8
66,134
66,135
66,109
66,49
66,38
67,8
67,134
67,135
67,109
67,49
67,38
68,8
68,150
68,139
68,158
69,9
69,94
69,20
70,130
70,167
70,50
70,63
70,98
70,109
70,49
70,131
70,40
70,124
70,147
70,56
71,28
71,38
71,108
71,80
71,33
71,150
71,98
71,109
71,49
71,100
71,46
71,158
71,107
71,51
71,94
71,73
71,17
71,142
71,85
71,71
71,56
72,130
72,8
72,134
72,138
72,119
72,160
72,139
72,167
72,159
72,17
72,80
73,60
73,108
73,63
73,6
73,109
73,49
73,100
73,27
73,42
73,94
73,19
73,85
73,110
73,97
73,56
74,167
74,80
74,98
74,109
74,131
74,107
74,51
74,94
74,104
74,134
74,85
75,107
75,51
75,47
75,85
75,98
75,56
75,49
75,102
75,158
76,9
76,27
76,51
76,134
76,94
76,109
76,17
76,63
77,24
77,155
77,52
77,102
77,158
78,64
78,108
78,75
78,109
78,43
78,38
79,135
79,37
79,60
79,138
79,69
79,49
79,158
79,27
79,51
79,102
79,85
79,97
79,56
80,64
80,108
80,75
80,109
80,43
80,38
81,64
81,163
81,135
81,94
81,109
81,93
81,2
82,8
82,143
82,166
82,75
82,94
82,171
82,167
82,132
82,159
82,64
83,37
83,60
83,38
83,80
